Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,34,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,54,1497,Light
2,One way street,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,28,1242,Light
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,19,1199,Light
2,Dual carriageway,70,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Front,Female,72,1242,Light
2,Dual carriageway,70,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Back,Male,39,1597,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,30,1951,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,21,1489,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,51,1275,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,26,1598,Light
2,Dual carriageway,70,Daylight,Raining no high winds,Wet or damp,Rural,Turning,Front,Female,18,1242,Light
2,Dual carriageway,70,Daylight,Raining no high winds,Wet or damp,Rural,Waiting,Offside,Male,39,1800,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,19,1367,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,39,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Female,45,1997,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Back,Female,38,1599,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Female,22,1596,Light
2,One way street,30,Darkness lights lit,Fine no high winds,Dry,Urban,Reversing,Back,Male,50,1753,Light
2,One way street,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Offside,Male,18,1527,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,56,1689,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,59,1124,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Changing lane,Nearside,Male,30,1753,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,34,1127,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Moving off,Front,Male,43,1799,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,73,1389,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Male,33,1275,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,22,1905,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,40,15607,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,38,1973,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,77,1988,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,25,1900,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,50,1994,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,35,1299,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Female,25,1196,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,34,1839,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Male,29,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,32,1997,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,42,1988,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,24,1388,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,19,1120,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Back,Female,63,1600,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,24,1783,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,24,1360,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,35,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,68,1597,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,19,1119,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,64,1370,Light
2,Single carriageway,30,Daylight,Fine and high winds,Dry,Urban,Going ahead,Front,Male,59,1998,Light
2,Single carriageway,30,Daylight,Fine and high winds,Dry,Urban,Going ahead,Front,Male,77,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,25,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,61,1398,Light
2,Dual carriageway,40,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Front,Female,54,1997,Light
2,Dual carriageway,40,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Moving off,Nearside,Male,42,1984,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,49,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,50,2400,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Nearside,Male,27,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Nearside,Male,17,1905,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,18,1396,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,25,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,42,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,24,1360,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,56,1389,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,40,1124,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,52,1997,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,44,1119,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,30,1199,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Male,40,2400,Light
2,Roundabout,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,60,6174,Light
2,Roundabout,40,Daylight,Fine no high winds,Dry,Urban,Changing lane,Nearside,Male,54,2664,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,37,2874,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Female,38,1390,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,21,1392,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Male,29,1762,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,70,1299,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,23,1360,Light
2,Slip road,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,34,1392,Light
2,Slip road,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1590,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,30,9200,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,46,1896,Light
2,Slip road,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Male,35,1898,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Offside,Male,61,1998,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,32,1997,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,63,1242,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,43,2204,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,57,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,40,1392,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,39,1390,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,49,1796,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,73,1797,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,33,1488,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,19,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Overtaking,Nearside,Male,28,5480,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Slowing or stopping,Back,Female,31,1149,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,39,1390,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Front,Female,37,1198,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Moving off,Front,Male,30,1998,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,43,1796,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1997,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,20,1360,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Offside,Female,39,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,28,1994,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,75,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,65,1587,Severe
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Reversing,Back,Male,36,1998,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Front,Male,67,2664,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,55,2496,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Female,27,1390,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,23,1870,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,34,2170,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,22,1598,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,52,2496,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,20,1332,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,27,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,28,1968,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1905,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,49,1108,Light
2,Roundabout,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,40,1587,Light
2,Roundabout,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,34,1229,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,20,1596,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,45,1998,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Changing lane,Front,Male,31,1405,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,32,1769,Light
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Female,43,1598,Light
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Male,33,1997,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Male,19,1360,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,50,1195,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,22,1495,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,21,1242,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,26,1389,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,29,1870,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Female,23,1299,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,44,2401,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,32,1242,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,19,1242,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,53,1799,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Reversing,Front,Male,22,1299,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,41,1242,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,30,1390,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,27,1461,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,27,1360,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Offside,Female,22,1108,Severe
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,19,1794,Severe
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,33,1995,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,40,1299,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,39,1753,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,41,1590,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,27,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,51,1587,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1984,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Offside,Female,27,1910,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,50,2497,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,45,1799,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,20,1700,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,19,1199,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Female,30,1196,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Back,Female,26,1149,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Nearside,Female,23,1149,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Overtaking,Front,Male,21,1242,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,20,1762,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Waiting,Nearside,Male,44,1984,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Waiting,Front,Male,30,2461,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Waiting,Back,Male,46,1248,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,47,1995,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Reversing,Front,Male,26,1149,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Male,42,2463,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Back,Male,36,1299,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,43,1199,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,29,2402,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Offside,Male,26,1998,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,40,1985,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,20,1388,Light
3,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,34,2402,Light
3,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,38,1341,Light
3,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,24,1299,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Offside,Male,48,1910,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,34,1799,Light
2,Single carriageway,30,Darkness lights lit,Fog or mist,Wet or damp,Urban,Going ahead,Front,Male,24,1747,Light
2,Single carriageway,30,Darkness lights lit,Fog or mist,Wet or damp,Urban,Going ahead,Offside,Female,56,1769,Light
2,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,61,1998,Light
2,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Female,50,1198,Light
3,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Moving off,Front,Male,37,1870,Light
3,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,30,1397,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,32,1124,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Nearside,Male,31,1389,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Offside,Female,46,1997,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,20,1196,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Turning,Front,Male,58,1288,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,24,2497,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,21,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,29,2402,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1970,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Offside,Female,22,1299,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Turning,Front,Male,27,1998,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Female,46,2962,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,42,1587,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,43,1699,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,26,1997,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Back,Male,46,1896,Light
2,Dual carriageway,70,Darkness lights lit,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,37,4250,Light
2,Dual carriageway,70,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Male,37,6174,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,45,2179,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,29,1117,Light
2,Roundabout,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,59,1119,Light
2,Roundabout,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,27,1391,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,11021,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,23,1242,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,66,1597,Light
4,Single carriageway,30,Daylight,Fine and high winds,Wet or damp,Urban,Going ahead,Front,Male,41,1796,Light
4,Single carriageway,30,Daylight,Fine and high winds,Wet or damp,Urban,Going ahead,Back,Male,18,1196,Light
4,Single carriageway,30,Daylight,Fine and high winds,Wet or damp,Urban,Waiting,Back,Male,52,3199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Offside,Female,30,1597,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,49,1389,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,80,1997,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Turning,Back,Male,81,2967,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,31,1998,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Nearside,Female,50,2922,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,61,1749,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,67,1905,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,27,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Male,43,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,19,1229,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,32,2300,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,52,1587,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,45,1997,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,22,1781,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,50,1199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,56,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,52,1596,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,53,2664,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,30,1341,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,35,1994,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,40,10100,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,47,1332,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,20,1587,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1587,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,69,1341,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,62,1396,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Nearside,Male,19,1149,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,19,1896,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,58,1597,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,66,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,31,1796,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,45,1587,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Female,44,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Turning,Offside,Female,39,1597,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Female,43,1489,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,23,1597,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,41,1593,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,40,1391,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,23,1598,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Nearside,Female,75,1149,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,49,1597,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,44,1488,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Female,52,1896,Light
