Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Rural,Changing lane,Offside,Female,23,1360,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Frost or ice,Urban,Slowing or stopping,Front,Female,30,1984,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Frost or ice,Urban,Waiting,Front,Male,33,1596,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,44,8300,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,54,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,18,1598,Light
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,19,1400,Light
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Slowing or stopping,Back,Male,31,1119,Light
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Slowing or stopping,Back,Male,35,1364,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,40,1796,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,40,1910,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Frost or ice,Urban,Going ahead,Front,Male,18,1598,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Frost or ice,Urban,Slowing or stopping,Nearside,Male,39,1598,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Frost or ice,Urban,Slowing or stopping,Nearside,Male,24,3628,Severe
2,Single carriageway,40,Daylight,Fine no high winds,Frost or ice,Urban,Slowing or stopping,Front,Female,35,1242,Light
2,Single carriageway,40,Daylight,Fine no high winds,Frost or ice,Urban,Turning,Back,Female,48,1597,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,25,1999,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,25,2616,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,41,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,77,1086,Light
2,Roundabout,60,Daylight,Fine no high winds,Wet or damp,Rural,Turning,Front,Male,64,1198,Light
2,Roundabout,60,Daylight,Fine no high winds,Wet or damp,Rural,Turning,Back,Male,43,1242,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Front,Male,31,1986,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Rural,Parked,Back,Male,21,1796,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Frost or ice,Rural,Going ahead,Nearside,Male,20,1598,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,27,1998,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Offside,Male,40,1796,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Moving off,Front,Female,35,1242,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Moving off,Back,Female,34,1488,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,74,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Female,54,1870,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Offside,Male,25,1995,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Changing lane,Offside,Male,46,1598,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,18,1587,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,40,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,32,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,64,1198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,41,1590,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,40,1870,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,36,1596,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,48,1364,Light
2,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,19,1149,Light
2,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Parked,Back,Male,28,1794,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,42,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,35,1895,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,31,1149,Light
2,Single carriageway,20,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,32,1199,Light
2,Single carriageway,20,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Male,20,1299,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Waiting,Front,Female,34,1781,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Slowing or stopping,Front,Male,18,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,18,1341,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Back,Male,45,1996,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,27,1781,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Turning,Offside,Male,59,2149,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,23,1396,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,43,11021,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,17,1900,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,47,1753,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,35,2460,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,56,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,49,11967,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,59,1596,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,73,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,44,2440,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Moving off,Nearside,Male,45,2664,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Rural,Waiting,Back,Female,50,1596,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Rural,Waiting,Front,Male,32,1995,Light
2,Single carriageway,30,Darkness lights lit,Fine and high winds,Wet or damp,Urban,Going ahead,Front,Male,33,1796,Light
2,Single carriageway,40,Darkness lights lit,Fine and high winds,Wet or damp,Urban,U turn,Offside,Male,18,1248,Light
2,Single carriageway,40,Darkness lights lit,Fine and high winds,Wet or damp,Urban,Overtaking,Front,Male,35,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,45,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,41,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,19,1332,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,38,1968,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,37,2664,Light
2,Roundabout,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,40,11116,Light
2,Roundabout,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Female,35,1951,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,41,1360,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,39,1995,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,18,1124,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,21,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,37,1391,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,31,2496,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Offside,Female,56,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,35,2204,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,48,2967,Light
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Moving off,Front,Male,21,1587,Light
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,57,1242,Light
